variant,n,row_count_mean,row_count_sd,invalid_rate_mean,invalid_rate_sd,duplicate_pair_count_mean,duplicate_pair_count_sd,evidence_trace_rate_mean,evidence_trace_rate_sd,high_risk_rpn_count_mean,high_risk_rpn_count_sd,high_severity_count_mean,high_severity_count_sd,rpn_mismatch_count_mean,rpn_mismatch_count_sd
M2,3,15.333333333333334,0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,9.666666666666666,4.932882862316248,9.333333333333334,1.1547005383792517,0.0,0.0
M3,3,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.666666666666666,4.509249752822894,9.0,0.0,0.0,0.0
M4_full,3,17.666666666666668,0.5773502691896258,0.0,0.0,0.0,0.0,1.0,0.0,11.0,5.291502622129181,10.666666666666666,0.5773502691896257,0.0,0.0
M4_no_critic,3,17.666666666666668,0.5773502691896258,0.056999999999999995,0.0017320508075688748,1.0,0.0,1.0,0.0,14.0,2.0,11.333333333333334,0.5773502691896257,0.0,0.0
M4_no_integrity,3,16.0,0.0,0.104,0.036373066958946425,0.0,0.0,0.9793333333333333,0.03579571668975683,10.333333333333334,0.5773502691896257,10.0,1.0,1.0,0.0
